value,value_label,cohort,variable,variable_label
0,0.No,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
1,1.Yes,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.a:No life history survey,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.d:dk,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.m:missing,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.n:No education before age 16,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.p:proxy,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.r:refuse,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.s:skip,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.u:unmar,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.v:sp nr,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
,.x:Re-interview respondent,CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
0,0.No,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
1,1.Yes,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.a:No life history survey,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.d:dk,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.m:missing,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.n:No education before age 16,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.p:proxy,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.r:refuse,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.s:skip,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.u:unmar,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.v:sp nr,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
,.x:Re-interview respondent,CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
0,0.No,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
1,1.Yes,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.a:No life history survey,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.d:dk,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.m:missing,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.n:No education before age 16,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.p:proxy,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.r:refuse,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.s:skip,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.u:unmar,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.v:sp nr,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
,.x:Re-interview respondent,CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
0,0.No,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
1,1.Yes,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.a:No life history survey,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.d:dk,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.m:missing,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.n:No education before age 16,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.p:proxy,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.r:refuse,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.s:skip,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.u:unmar,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.v:sp nr,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
,.x:Re-interview respondent,CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
0,0.No,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
1,1.Yes,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.a:No life history survey,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.d:dk,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.m:missing,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.n:No education before age 16,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.p:proxy,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.r:refuse,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.s:skip,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.u:unmar,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.v:sp nr,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
,.x:Re-interview respondent,CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
0,0.No,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
1,1.Yes,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.a:No life history survey,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.d:dk,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.m:missing,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.n:No education before age 16,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.p:proxy,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.r:refuse,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.s:skip,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.u:unmar,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.v:sp nr,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
,.x:Re-interview respondent,CHARLS,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
0,0.inap.,HRS,s1iwstat,s1iwstat:w1 s interview status
1,"1.resp,alive",HRS,s1iwstat,s1iwstat:w1 s interview status
2,"2.resp,died after iw",HRS,s1iwstat,s1iwstat:w1 s interview status
3,"3.resp(proxy),died",HRS,s1iwstat,s1iwstat:w1 s interview status
4,"4.nr,alive",HRS,s1iwstat,s1iwstat:w1 s interview status
5,"5.nr,died this wv",HRS,s1iwstat,s1iwstat:w1 s interview status
6,"6.nr,died prev wv",HRS,s1iwstat,s1iwstat:w1 s interview status
7,"7.nr,dropped from samp",HRS,s1iwstat,s1iwstat:w1 s interview status
9,"9.nr,dk if alive or died",HRS,s1iwstat,s1iwstat:w1 s interview status
,.u=unmarried,HRS,s1iwstat,s1iwstat:w1 s interview status
,.v=spouse nr,HRS,s1iwstat,s1iwstat:w1 s interview status
0,0.inap.,HRS,s2iwstat,s2iwstat:w2 s interview status
1,"1.resp,alive",HRS,s2iwstat,s2iwstat:w2 s interview status
2,"2.resp,died after iw",HRS,s2iwstat,s2iwstat:w2 s interview status
3,"3.resp(proxy),died",HRS,s2iwstat,s2iwstat:w2 s interview status
4,"4.nr,alive",HRS,s2iwstat,s2iwstat:w2 s interview status
5,"5.nr,died this wv",HRS,s2iwstat,s2iwstat:w2 s interview status
6,"6.nr,died prev wv",HRS,s2iwstat,s2iwstat:w2 s interview status
7,"7.nr,dropped from samp",HRS,s2iwstat,s2iwstat:w2 s interview status
9,"9.nr,dk if alive or died",HRS,s2iwstat,s2iwstat:w2 s interview status
,.u=unmarried,HRS,s2iwstat,s2iwstat:w2 s interview status
,.v=spouse nr,HRS,s2iwstat,s2iwstat:w2 s interview status
0,0.inap.,HRS,s3iwstat,s3iwstat:w3 s interview status
1,"1.resp,alive",HRS,s3iwstat,s3iwstat:w3 s interview status
2,"2.resp,died after iw",HRS,s3iwstat,s3iwstat:w3 s interview status
3,"3.resp(proxy),died",HRS,s3iwstat,s3iwstat:w3 s interview status
4,"4.nr,alive",HRS,s3iwstat,s3iwstat:w3 s interview status
5,"5.nr,died this wv",HRS,s3iwstat,s3iwstat:w3 s interview status
6,"6.nr,died prev wv",HRS,s3iwstat,s3iwstat:w3 s interview status
7,"7.nr,dropped from samp",HRS,s3iwstat,s3iwstat:w3 s interview status
9,"9.nr,dk if alive or died",HRS,s3iwstat,s3iwstat:w3 s interview status
,.u=unmarried,HRS,s3iwstat,s3iwstat:w3 s interview status
,.v=spouse nr,HRS,s3iwstat,s3iwstat:w3 s interview status
0,0.inap.,HRS,s4iwstat,s4iwstat:w4 s interview status
1,"1.resp,alive",HRS,s4iwstat,s4iwstat:w4 s interview status
2,"2.resp,died after iw",HRS,s4iwstat,s4iwstat:w4 s interview status
3,"3.resp(proxy),died",HRS,s4iwstat,s4iwstat:w4 s interview status
4,"4.nr,alive",HRS,s4iwstat,s4iwstat:w4 s interview status
5,"5.nr,died this wv",HRS,s4iwstat,s4iwstat:w4 s interview status
6,"6.nr,died prev wv",HRS,s4iwstat,s4iwstat:w4 s interview status
7,"7.nr,dropped from samp",HRS,s4iwstat,s4iwstat:w4 s interview status
9,"9.nr,dk if alive or died",HRS,s4iwstat,s4iwstat:w4 s interview status
,.u=unmarried,HRS,s4iwstat,s4iwstat:w4 s interview status
,.v=spouse nr,HRS,s4iwstat,s4iwstat:w4 s interview status
0,0.inap.,HRS,s5iwstat,s5iwstat:w5 s interview status
1,"1.resp,alive",HRS,s5iwstat,s5iwstat:w5 s interview status
2,"2.resp,died after iw",HRS,s5iwstat,s5iwstat:w5 s interview status
3,"3.resp(proxy),died",HRS,s5iwstat,s5iwstat:w5 s interview status
4,"4.nr,alive",HRS,s5iwstat,s5iwstat:w5 s interview status
5,"5.nr,died this wv",HRS,s5iwstat,s5iwstat:w5 s interview status
6,"6.nr,died prev wv",HRS,s5iwstat,s5iwstat:w5 s interview status
7,"7.nr,dropped from samp",HRS,s5iwstat,s5iwstat:w5 s interview status
9,"9.nr,dk if alive or died",HRS,s5iwstat,s5iwstat:w5 s interview status
,.u=unmarried,HRS,s5iwstat,s5iwstat:w5 s interview status
,.v=spouse nr,HRS,s5iwstat,s5iwstat:w5 s interview status
0,0.inap.,HRS,s6iwstat,s6iwstat:w6 s interview status
1,"1.resp,alive",HRS,s6iwstat,s6iwstat:w6 s interview status
2,"2.resp,died after iw",HRS,s6iwstat,s6iwstat:w6 s interview status
3,"3.resp(proxy),died",HRS,s6iwstat,s6iwstat:w6 s interview status
4,"4.nr,alive",HRS,s6iwstat,s6iwstat:w6 s interview status
5,"5.nr,died this wv",HRS,s6iwstat,s6iwstat:w6 s interview status
6,"6.nr,died prev wv",HRS,s6iwstat,s6iwstat:w6 s interview status
7,"7.nr,dropped from samp",HRS,s6iwstat,s6iwstat:w6 s interview status
9,"9.nr,dk if alive or died",HRS,s6iwstat,s6iwstat:w6 s interview status
,.u=unmarried,HRS,s6iwstat,s6iwstat:w6 s interview status
,.v=spouse nr,HRS,s6iwstat,s6iwstat:w6 s interview status
0,0.inap.,HRS,s7iwstat,s7iwstat:w7 s interview status
1,"1.resp,alive",HRS,s7iwstat,s7iwstat:w7 s interview status
2,"2.resp,died after iw",HRS,s7iwstat,s7iwstat:w7 s interview status
3,"3.resp(proxy),died",HRS,s7iwstat,s7iwstat:w7 s interview status
4,"4.nr,alive",HRS,s7iwstat,s7iwstat:w7 s interview status
5,"5.nr,died this wv",HRS,s7iwstat,s7iwstat:w7 s interview status
6,"6.nr,died prev wv",HRS,s7iwstat,s7iwstat:w7 s interview status
7,"7.nr,dropped from samp",HRS,s7iwstat,s7iwstat:w7 s interview status
9,"9.nr,dk if alive or died",HRS,s7iwstat,s7iwstat:w7 s interview status
,.u=unmarried,HRS,s7iwstat,s7iwstat:w7 s interview status
,.v=spouse nr,HRS,s7iwstat,s7iwstat:w7 s interview status
0,0.inap.,HRS,s8iwstat,s8iwstat:w8 s interview status
1,"1.resp,alive",HRS,s8iwstat,s8iwstat:w8 s interview status
2,"2.resp,died after iw",HRS,s8iwstat,s8iwstat:w8 s interview status
3,"3.resp(proxy),died",HRS,s8iwstat,s8iwstat:w8 s interview status
4,"4.nr,alive",HRS,s8iwstat,s8iwstat:w8 s interview status
5,"5.nr,died this wv",HRS,s8iwstat,s8iwstat:w8 s interview status
6,"6.nr,died prev wv",HRS,s8iwstat,s8iwstat:w8 s interview status
7,"7.nr,dropped from samp",HRS,s8iwstat,s8iwstat:w8 s interview status
9,"9.nr,dk if alive or died",HRS,s8iwstat,s8iwstat:w8 s interview status
,.u=unmarried,HRS,s8iwstat,s8iwstat:w8 s interview status
,.v=spouse nr,HRS,s8iwstat,s8iwstat:w8 s interview status
0,0.inap.,HRS,s9iwstat,s9iwstat:w9 s interview status
1,"1.resp,alive",HRS,s9iwstat,s9iwstat:w9 s interview status
2,"2.resp,died after iw",HRS,s9iwstat,s9iwstat:w9 s interview status
3,"3.resp(proxy),died",HRS,s9iwstat,s9iwstat:w9 s interview status
4,"4.nr,alive",HRS,s9iwstat,s9iwstat:w9 s interview status
5,"5.nr,died this wv",HRS,s9iwstat,s9iwstat:w9 s interview status
6,"6.nr,died prev wv",HRS,s9iwstat,s9iwstat:w9 s interview status
7,"7.nr,dropped from samp",HRS,s9iwstat,s9iwstat:w9 s interview status
9,"9.nr,dk if alive or died",HRS,s9iwstat,s9iwstat:w9 s interview status
,.u=unmarried,HRS,s9iwstat,s9iwstat:w9 s interview status
,.v=spouse nr,HRS,s9iwstat,s9iwstat:w9 s interview status
0,0.inap.,HRS,s10iwstat,s10iwstat:w10 s interview status
1,"1.resp,alive",HRS,s10iwstat,s10iwstat:w10 s interview status
2,"2.resp,died after iw",HRS,s10iwstat,s10iwstat:w10 s interview status
3,"3.resp(proxy),died",HRS,s10iwstat,s10iwstat:w10 s interview status
4,"4.nr,alive",HRS,s10iwstat,s10iwstat:w10 s interview status
5,"5.nr,died this wv",HRS,s10iwstat,s10iwstat:w10 s interview status
6,"6.nr,died prev wv",HRS,s10iwstat,s10iwstat:w10 s interview status
7,"7.nr,dropped from samp",HRS,s10iwstat,s10iwstat:w10 s interview status
9,"9.nr,dk if alive or died",HRS,s10iwstat,s10iwstat:w10 s interview status
,.u=unmarried,HRS,s10iwstat,s10iwstat:w10 s interview status
,.v=spouse nr,HRS,s10iwstat,s10iwstat:w10 s interview status
0,0.inap.,HRS,s11iwstat,s11iwstat:w11 s interview status
1,"1.resp,alive",HRS,s11iwstat,s11iwstat:w11 s interview status
2,"2.resp,died after iw",HRS,s11iwstat,s11iwstat:w11 s interview status
3,"3.resp(proxy),died",HRS,s11iwstat,s11iwstat:w11 s interview status
4,"4.nr,alive",HRS,s11iwstat,s11iwstat:w11 s interview status
5,"5.nr,died this wv",HRS,s11iwstat,s11iwstat:w11 s interview status
6,"6.nr,died prev wv",HRS,s11iwstat,s11iwstat:w11 s interview status
7,"7.nr,dropped from samp",HRS,s11iwstat,s11iwstat:w11 s interview status
9,"9.nr,dk if alive or died",HRS,s11iwstat,s11iwstat:w11 s interview status
,.u=unmarried,HRS,s11iwstat,s11iwstat:w11 s interview status
,.v=spouse nr,HRS,s11iwstat,s11iwstat:w11 s interview status
0,0.inap.,HRS,s12iwstat,s12iwstat:w12 s interview status
1,"1.resp,alive",HRS,s12iwstat,s12iwstat:w12 s interview status
2,"2.resp,died after iw",HRS,s12iwstat,s12iwstat:w12 s interview status
3,"3.resp(proxy),died",HRS,s12iwstat,s12iwstat:w12 s interview status
4,"4.nr,alive",HRS,s12iwstat,s12iwstat:w12 s interview status
5,"5.nr,died this wv",HRS,s12iwstat,s12iwstat:w12 s interview status
6,"6.nr,died prev wv",HRS,s12iwstat,s12iwstat:w12 s interview status
7,"7.nr,dropped from samp",HRS,s12iwstat,s12iwstat:w12 s interview status
9,"9.nr,dk if alive or died",HRS,s12iwstat,s12iwstat:w12 s interview status
,.u=unmarried,HRS,s12iwstat,s12iwstat:w12 s interview status
,.v=spouse nr,HRS,s12iwstat,s12iwstat:w12 s interview status
0,0.inap.,HRS,s13iwstat,s13iwstat:w13 s interview status
1,"1.resp,alive",HRS,s13iwstat,s13iwstat:w13 s interview status
2,"2.resp,died after iw",HRS,s13iwstat,s13iwstat:w13 s interview status
3,"3.resp(proxy),died",HRS,s13iwstat,s13iwstat:w13 s interview status
4,"4.nr,alive",HRS,s13iwstat,s13iwstat:w13 s interview status
5,"5.nr,died this wv",HRS,s13iwstat,s13iwstat:w13 s interview status
6,"6.nr,died prev wv",HRS,s13iwstat,s13iwstat:w13 s interview status
7,"7.nr,dropped from samp",HRS,s13iwstat,s13iwstat:w13 s interview status
9,"9.nr,dk if alive or died",HRS,s13iwstat,s13iwstat:w13 s interview status
