cohort,method,threshold,outer_splits,net_benefit_median,net_benefit_lower_95_outer,net_benefit_upper_95_outer,delta_net_benefit_vs_raw_median,proportion_delta_net_benefit_ge_0
CHARLS,intercept_only_full_pool,0.15,30,0.07227105401547593,0.05713225903388174,0.08576647133949362,0.01588911426639621,1.0
CHARLS,intercept_only_full_pool,0.175,30,0.05805178218971322,0.04439413289988002,0.07059338596694918,0.01503541158713572,1.0
CHARLS,intercept_only_full_pool,0.2,30,0.047733077905491694,0.036346583652618135,0.060113346104725414,0.01883780332056194,1.0
CHARLS,intercept_only_full_pool,0.225,30,0.03896304535904091,0.023130124006097305,0.051456865653194905,0.01580974745602109,1.0
CHARLS,intercept_only_full_pool,0.25,30,0.034482758620689655,0.019098552575564077,0.046328224776500636,0.016496381438910176,1.0
CHARLS,intercept_only_full_pool,0.275,30,0.02873563218390804,0.015569538027920896,0.039253864447086784,0.01608534813053243,1.0
CHARLS,intercept_only_full_pool,0.3,30,0.023627075351213278,0.015403211092866258,0.03460135011859149,0.013227513227513223,1.0
CHARLS,raw_untouched,0.05,30,0.14784566780937014,0.13453737312630232,0.17035188546077834,0.0,1.0
CHARLS,raw_untouched,0.075,30,0.11575368471920197,0.10352248800524665,0.13043560802181492,0.0,1.0
CHARLS,raw_untouched,0.1,30,0.09049950333475237,0.07866822761458775,0.10299418192138497,0.0,1.0
CHARLS,raw_untouched,0.125,30,0.07083561393906222,0.05947363619777413,0.08121237000547345,0.0,1.0
CHARLS,raw_untouched,0.15,30,0.05572458868604913,0.04453553452032153,0.06717000976635865,0.0,1.0
CHARLS,raw_untouched,0.175,30,0.043103448275862065,0.03499458183366229,0.053064650334765276,0.0,1.0
CHARLS,raw_untouched,0.2,30,0.030970625798212005,0.024233716475095785,0.04003033205619413,0.0,1.0
CHARLS,raw_untouched,0.225,30,0.023822766036336672,0.017403596588802375,0.03210357186997899,0.0,1.0
CHARLS,raw_untouched,0.25,30,0.01841209025117071,0.013409961685823757,0.02608556832694764,0.0,1.0
CHARLS,raw_untouched,0.275,30,0.012793411723257143,0.008717576077861451,0.018832848901219883,0.0,1.0
CHARLS,raw_untouched,0.3,30,0.011539864988140849,0.006383415435139572,0.016926655719759164,0.0,1.0
CHARLS,treat_all,0.05,30,0.1580963904012906,0.14643409289507295,0.18037910869126839,0.010469180614371215,1.0
CHARLS,treat_all,0.075,30,0.13534223879051469,0.12336474405439925,0.1582271927099513,0.01909668288978634,1.0
CHARLS,treat_all,0.1,30,0.11132396764580674,0.09901376472257699,0.13484461472967219,0.02139208173690934,1.0
CHARLS,treat_all,0.125,30,0.08593322386425836,0.07327130085750777,0.11012588943623426,0.015371282612661914,1.0
CHARLS,treat_all,0.15,30,0.05904890691908948,0.04601457441214036,0.08395312147847644,0.004864397866426288,0.7
CHARLS,treat_all,0.175,30,0.03053523743178918,0.017105925151902176,0.056194125159642394,-0.013003599210495737,0.13333333333333333
CHARLS,treat_all,0.2,30,0.00023946360153258295,-0.01360951468710088,0.026700191570881195,-0.03121008939974456,0.0
CHARLS,treat_all,0.225,30,-0.032010876282288936,-0.046306595806039616,-0.0046965764429613135,-0.055710048201705574,0.0
CHARLS,treat_all,0.25,30,-0.0664112388250319,-0.08118348233290759,-0.03818646232439338,-0.0847169008088548,0.0
CHARLS,treat_all,0.275,30,-0.10318404016382614,-0.11846567137886993,-0.0739859955079932,-0.11637380543444753,0.0
CHARLS,treat_all,0.3,30,-0.14258347016967704,-0.15841087392811526,-0.11234263820470718,-0.15403211092866265,0.0
CHARLS,treat_none,0.05,30,0.0,0.0,0.0,-0.14784566780937014,0.0
CHARLS,treat_none,0.075,30,0.0,0.0,0.0,-0.11575368471920197,0.0
CHARLS,treat_none,0.1,30,0.0,0.0,0.0,-0.09049950333475237,0.0
CHARLS,treat_none,0.125,30,0.0,0.0,0.0,-0.07083561393906222,0.0
CHARLS,treat_none,0.15,30,0.0,0.0,0.0,-0.05572458868604913,0.0
CHARLS,treat_none,0.175,30,0.0,0.0,0.0,-0.043103448275862065,0.0
CHARLS,treat_none,0.2,30,0.0,0.0,0.0,-0.030970625798212005,0.0
CHARLS,treat_none,0.225,30,0.0,0.0,0.0,-0.023822766036336672,0.0
CHARLS,treat_none,0.25,30,0.0,0.0,0.0,-0.01841209025117071,0.0
CHARLS,treat_none,0.275,30,0.0,0.0,0.0,-0.012793411723257143,0.0
CHARLS,treat_none,0.3,30,0.0,0.0,0.0,-0.011539864988140849,0.0
ELSA,intercept_and_slope_full_pool,0.05,30,0.056944592916384575,0.05422819136587946,0.05983337832932181,-5.114587000919907e-05,0.43333333333333335
ELSA,intercept_and_slope_full_pool,0.075,30,0.04452841622281507,0.041843363901669095,0.0473547000687876,0.0008161793816256306,0.9
ELSA,intercept_and_slope_full_pool,0.1,30,0.035336096492530555,0.03257995191739431,0.03760549983695402,0.00047401708847199034,0.8666666666666667
ELSA,intercept_and_slope_full_pool,0.125,30,0.028667499572502045,0.025926903400298924,0.03122723614540868,0.0018028386885783655,1.0
ELSA,intercept_and_slope_full_pool,0.15,30,0.0227428983419333,0.019219914871554156,0.02495363642057577,0.0022774014116104142,1.0
ELSA,intercept_and_slope_full_pool,0.175,30,0.017721234873474316,0.014561056796051264,0.019361292534109877,0.002125669389248303,1.0
ELSA,intercept_and_slope_full_pool,0.2,30,0.01313801220472164,0.010588466636026037,0.0150280044153095,0.0013865817463777847,0.9333333333333333
ELSA,intercept_and_slope_full_pool,0.225,30,0.010317561217329085,0.008404993391929197,0.012305093561135867,0.0009801351970848285,0.9333333333333333
ELSA,intercept_and_slope_full_pool,0.25,30,0.008195912001822401,0.006493761299032548,0.009910827622501136,0.0014342170329240032,0.9333333333333333
ELSA,intercept_and_slope_full_pool,0.275,30,0.006449221854794405,0.0051782396724452204,0.008269177753870621,0.0011945005361525462,0.9666666666666667
ELSA,intercept_and_slope_full_pool,0.3,30,0.0044621057946605865,0.003294189580189866,0.006097918754506373,0.0005419755376171007,0.8333333333333334
ELSA,intercept_only_full_pool,0.05,30,0.056843719528791484,0.05387896584842131,0.06005667023938715,-6.892334821350862e-05,0.4666666666666667
ELSA,intercept_only_full_pool,0.075,30,0.04438347407694495,0.04139177132707481,0.04715519442654012,0.0008010020892850293,0.8666666666666667
ELSA,intercept_only_full_pool,0.1,30,0.03516893098917592,0.032160071420613105,0.037678871196380095,0.0005830285655500714,0.7666666666666667
ELSA,intercept_only_full_pool,0.125,30,0.028677510852211374,0.02583620963400915,0.031235973191696437,0.0017880450025888756,1.0
ELSA,intercept_only_full_pool,0.15,30,0.022460076566790305,0.018783641784801932,0.024606342367980736,0.0019038704569352225,1.0
ELSA,intercept_only_full_pool,0.175,30,0.01708790303841208,0.014207456893470315,0.019088983144614862,0.0016593828204580366,1.0
ELSA,intercept_only_full_pool,0.2,30,0.013063190541353764,0.01090802340163495,0.015178681784367633,0.0011112818022096967,1.0
ELSA,intercept_only_full_pool,0.225,30,0.010496048024726989,0.00827745066851997,0.012169371316550943,0.0010238027450131231,0.9333333333333333
ELSA,intercept_only_full_pool,0.25,30,0.00846529633709385,0.0066956454505532935,0.009995259438541109,0.0014710143980091205,1.0
ELSA,intercept_only_full_pool,0.275,30,0.00608512569918787,0.004889452168133946,0.007620079954434692,0.0006689231244298827,0.9
ELSA,intercept_only_full_pool,0.3,30,0.004449370526814876,0.0032455868974502304,0.005824434627393392,0.0004712476473634863,0.7666666666666667
ELSA,raw_untouched,0.05,30,0.05701773180560786,0.05422981227369822,0.060373880305775486,0.0,1.0
ELSA,raw_untouched,0.075,30,0.0438799921586496,0.041067999808656795,0.046224152515088185,0.0,1.0
ELSA,raw_untouched,0.1,30,0.03469429296929817,0.03186090451659897,0.03706945208020603,0.0,1.0
ELSA,raw_untouched,0.125,30,0.027259558203128975,0.02341934854550176,0.02946859744873201,0.0,1.0
ELSA,raw_untouched,0.15,30,0.020298083897948266,0.01744596401758958,0.022315652331942368,0.0,1.0
ELSA,raw_untouched,0.175,30,0.01527130263438065,0.013415630245077062,0.01715908305041188,0.0,1.0
ELSA,raw_untouched,0.2,30,0.01194682838379097,0.010245450779195598,0.01342447090855237,0.0,1.0
ELSA,raw_untouched,0.225,30,0.009445210640063748,0.00815338806087496,0.010710754338220097,0.0,1.0
ELSA,raw_untouched,0.25,30,0.0066941784797517985,0.005637810832070441,0.008172572286147588,0.0,1.0
ELSA,raw_untouched,0.275,30,0.005401649274147651,0.0041519497652223545,0.006723637441199693,0.0,1.0
ELSA,raw_untouched,0.3,30,0.0041987370699305086,0.002704393228360249,0.005122135935606577,0.0,1.0
ELSA,treat_all,0.05,30,0.049539466153494256,0.04600797968613941,0.05276405468302203,-0.007651632250095668,0.0
ELSA,treat_all,0.075,30,0.02385134361710222,0.020224411569548597,0.027163083187968586,-0.02001199523120629,0.0
ELSA,treat_all,0.1,30,-0.0032638968379782723,-0.006991576997963966,0.00013983549874547926,-0.03817235121983954,0.0
ELSA,treat_all,0.125,30,-0.03192857960477765,-0.03576276491219149,-0.028427597772718926,-0.059266807927753844,0.0
ELSA,treat_all,0.15,30,-0.06227942018138876,-0.066226375644903,-0.058675468295445954,-0.08259586696672061,0.0
ELSA,treat_all,0.175,30,-0.09446970564143087,-0.09853626581596067,-0.09075654309227764,-0.10977370698552708,0.0
ELSA,treat_all,0.2,30,-0.12867188394272555,-0.13286552412270947,-0.12484268506391133,-0.14060582026599822,0.0
ELSA,treat_all,0.225,30,-0.16508065439249092,-0.1694095732879581,-0.1611279329691988,-0.17456615858052743,0.0
ELSA,treat_all,0.25,30,-0.2039166762055739,-0.20838989239755673,-0.1998321974015054,-0.21058240874559153,0.0
ELSA,treat_all,0.275,30,-0.24543104435059376,-0.25005850937678287,-0.24120572144983324,-0.2508174412529833,0.0
ELSA,treat_all,0.3,30,-0.2899107245059721,-0.29470345614023935,-0.2855344972158987,-0.29411730487637633,0.0
ELSA,treat_none,0.05,30,0.0,0.0,0.0,-0.05701773180560786,0.0
ELSA,treat_none,0.075,30,0.0,0.0,0.0,-0.0438799921586496,0.0
ELSA,treat_none,0.1,30,0.0,0.0,0.0,-0.03469429296929817,0.0
ELSA,treat_none,0.125,30,0.0,0.0,0.0,-0.027259558203128975,0.0
ELSA,treat_none,0.15,30,0.0,0.0,0.0,-0.020298083897948266,0.0
ELSA,treat_none,0.175,30,0.0,0.0,0.0,-0.01527130263438065,0.0
ELSA,treat_none,0.2,30,0.0,0.0,0.0,-0.01194682838379097,0.0
ELSA,treat_none,0.225,30,0.0,0.0,0.0,-0.009445210640063748,0.0
ELSA,treat_none,0.25,30,0.0,0.0,0.0,-0.0066941784797517985,0.0
ELSA,treat_none,0.275,30,0.0,0.0,0.0,-0.005401649274147651,0.0
ELSA,treat_none,0.3,30,0.0,0.0,0.0,-0.0041987370699305086,0.0
HRS,intercept_and_slope_full_pool,0.05,30,0.056597436616997815,0.05379760854473707,0.05839871691797519,0.0013666330676837084,1.0
HRS,intercept_and_slope_full_pool,0.075,30,0.044054685546600136,0.041178270374172085,0.045539877466304814,0.0014308353266796608,1.0
HRS,intercept_and_slope_full_pool,0.1,30,0.033505839784955194,0.03087186064496973,0.03453540941117493,0.00048464221597649057,0.8666666666666667
HRS,intercept_and_slope_full_pool,0.125,30,0.0259890063344424,0.02401812765315889,0.02729733147513195,0.0007838262429433959,1.0
HRS,intercept_and_slope_full_pool,0.15,30,0.01988538964147272,0.01821157628197741,0.02147579849164696,0.0006626750948496643,0.9666666666666667
HRS,intercept_and_slope_full_pool,0.175,30,0.015658944887098326,0.014609257474496797,0.01734688860678461,0.001075746872038613,0.9666666666666667
HRS,intercept_and_slope_full_pool,0.2,30,0.011618491949494929,0.010784619798469055,0.013233362302796517,-0.00012030980140278775,0.4666666666666667
HRS,intercept_and_slope_full_pool,0.225,30,0.008566587971513637,0.0077787153916724664,0.009999618041245514,-8.56217916724326e-05,0.4
HRS,intercept_and_slope_full_pool,0.25,30,0.0064041962697373965,0.005612789220075758,0.0074787857081680675,0.0003352025327516164,0.7666666666666667
HRS,intercept_and_slope_full_pool,0.275,30,0.0044461961060061825,0.0038224497800677807,0.005426027815019316,0.0001266935996658662,0.6333333333333333
HRS,intercept_and_slope_full_pool,0.3,30,0.0030930058506142694,0.0022182675981835204,0.003628893768067096,5.1343497162218863e-05,0.5666666666666667
HRS,intercept_only_full_pool,0.05,30,0.056579833015149746,0.05389519062183618,0.05818906863018492,0.001286662404458589,1.0
HRS,intercept_only_full_pool,0.075,30,0.04418943290728929,0.041227043049417475,0.04588833170052724,0.0016785989581806875,1.0
HRS,intercept_only_full_pool,0.1,30,0.03374724025811811,0.03124453540005901,0.03454730023495775,0.0007464293472729741,0.8666666666666667
HRS,intercept_only_full_pool,0.125,30,0.026007407911725622,0.024040857575852666,0.027273525318457656,0.0007421535342098957,1.0
HRS,intercept_only_full_pool,0.15,30,0.019915445797057826,0.018341060492219143,0.02143132618012625,0.0007419202719668571,0.9666666666666667
HRS,intercept_only_full_pool,0.175,30,0.015430695583929907,0.014377087635836307,0.01710178539380856,0.0009127730096517139,0.9
HRS,intercept_only_full_pool,0.2,30,0.011481080834048777,0.010639080657700103,0.01302616868600117,-0.0002940015794492814,0.26666666666666666
HRS,intercept_only_full_pool,0.225,30,0.008348092922180668,0.007840801897519852,0.009783446947383817,-0.00011109908805879802,0.36666666666666664
HRS,intercept_only_full_pool,0.25,30,0.0060733706641393735,0.005333145210751574,0.006940369761404555,-1.9779459031795798e-05,0.5
HRS,intercept_only_full_pool,0.275,30,0.004331802701238665,0.0035600661746050125,0.004867476616858069,-0.00015241697973102206,0.3333333333333333
HRS,intercept_only_full_pool,0.3,30,0.003082788234241048,0.002332364418698143,0.0035418036225905274,0.00016861407248881279,0.6
HRS,raw_untouched,0.05,30,0.055322707742429526,0.05244979571185833,0.05708982263456294,0.0,1.0
HRS,raw_untouched,0.075,30,0.04267715147392902,0.039796764277533446,0.04409348967550185,0.0,1.0
HRS,raw_untouched,0.1,30,0.03298079142416546,0.03000638937892737,0.03466659131713044,0.0,1.0
HRS,raw_untouched,0.125,30,0.025160619958110197,0.02236679678183968,0.0261393378302328,0.0,1.0
HRS,raw_untouched,0.15,30,0.019427403388798038,0.017452020627339866,0.020709325965752666,0.0,1.0
HRS,raw_untouched,0.175,30,0.014649435891506841,0.01295752654027757,0.01629988444907866,0.0,1.0
HRS,raw_untouched,0.2,30,0.011835479443684599,0.010526670426808356,0.013553927551288708,0.0,1.0
HRS,raw_untouched,0.225,30,0.008561850533200301,0.00757546494161683,0.010218890531309558,0.0,1.0
HRS,raw_untouched,0.25,30,0.005899111756408678,0.005259382542158748,0.007497374677556786,0.0,1.0
HRS,raw_untouched,0.275,30,0.004411955293615816,0.0035725100680936584,0.005722490129022396,0.0,1.0
HRS,raw_untouched,0.3,30,0.002951509488187194,0.002142128912643635,0.004092705407909632,0.0,1.0
HRS,treat_all,0.05,30,0.04808991325726837,0.04534528558497109,0.05023862931325901,-0.0071566899359055205,0.0
HRS,treat_all,0.075,30,0.02236261361557293,0.019543806816997352,0.024569403078482252,-0.020088296879917134,0.0
HRS,treat_all,0.1,30,-0.0047939804506611575,-0.007691087438086068,-0.00252589128044881,-0.03753059506467201,0.0
HRS,treat_all,0.125,30,-0.033502379892108615,-0.03648226136488852,-0.031169488174175926,-0.058499223010365975,0.0
HRS,treat_all,0.15,30,-0.06389950871246475,-0.06696703375797348,-0.06149800253223991,-0.08343762952103413,0.0
HRS,treat_all,0.175,30,-0.09613888776435761,-0.09929936811427571,-0.09366460866958051,-0.11133377928874251,0.0
HRS,treat_all,0.2,30,-0.13039322800699382,-0.13365247336784683,-0.12784162769050492,-0.14201286305015393,0.0
HRS,treat_all,0.225,30,-0.1668575256846388,-0.17022190799261605,-0.1642236156805212,-0.1753889967858394,0.0
HRS,treat_all,0.25,30,-0.20575277654079338,-0.20922930492570324,-0.20303106953653857,-0.21181635312680386,0.0
HRS,treat_all,0.275,30,-0.24733045849047597,-0.2509268671645207,-0.24451489952055722,-0.2518523496284697,0.0
HRS,treat_all,0.3,30,-0.2918779748651358,-0.29560282670611066,-0.2889618602177199,-0.29490057668977365,0.0
HRS,treat_none,0.05,30,0.0,0.0,0.0,-0.055322707742429526,0.0
HRS,treat_none,0.075,30,0.0,0.0,0.0,-0.04267715147392902,0.0
HRS,treat_none,0.1,30,0.0,0.0,0.0,-0.03298079142416546,0.0
HRS,treat_none,0.125,30,0.0,0.0,0.0,-0.025160619958110197,0.0
HRS,treat_none,0.15,30,0.0,0.0,0.0,-0.019427403388798038,0.0
HRS,treat_none,0.175,30,0.0,0.0,0.0,-0.014649435891506841,0.0
HRS,treat_none,0.2,30,0.0,0.0,0.0,-0.011835479443684599,0.0
HRS,treat_none,0.225,30,0.0,0.0,0.0,-0.008561850533200301,0.0
HRS,treat_none,0.25,30,0.0,0.0,0.0,-0.005899111756408678,0.0
HRS,treat_none,0.275,30,0.0,0.0,0.0,-0.004411955293615816,0.0
HRS,treat_none,0.3,30,0.0,0.0,0.0,-0.002951509488187194,0.0
MHAS,intercept_and_slope_full_pool,0.05,30,0.10590250963187045,0.0966414972037948,0.11240574234586351,0.00020156878179846544,0.7333333333333333
MHAS,intercept_and_slope_full_pool,0.075,30,0.08679857640282221,0.07811424789212587,0.09446309053799752,0.0037522443074340106,1.0
MHAS,intercept_and_slope_full_pool,0.1,30,0.07187298217768438,0.0627667130440757,0.07856171336589737,0.008462038887929166,1.0
MHAS,intercept_and_slope_full_pool,0.125,30,0.056790603428344466,0.05010586277521763,0.06401818542870705,0.011853436705379035,1.0
MHAS,intercept_and_slope_full_pool,0.15,30,0.043821127796535776,0.03785427771444534,0.05197366757439427,0.010780634099851059,1.0
MHAS,intercept_and_slope_full_pool,0.175,30,0.03217700972014226,0.0252845046885315,0.039993193611728546,0.011383870856895854,1.0
MHAS,intercept_and_slope_full_pool,0.2,30,0.02500375082595243,0.018484764648852667,0.03187224506271693,0.014402467018834526,1.0
MHAS,intercept_and_slope_full_pool,0.225,30,0.019358591439236884,0.015038534424021907,0.02396382779646607,0.0182141086998443,1.0
MHAS,intercept_and_slope_full_pool,0.25,30,0.014116828881349982,0.009831170848219634,0.0205059948517398,0.020197518274537647,1.0
MHAS,intercept_and_slope_full_pool,0.275,30,0.011237685871744441,0.005816775496795789,0.016791817671222124,0.024276050143463186,1.0
MHAS,intercept_and_slope_full_pool,0.3,30,0.006824440435092919,0.0021362178823947113,0.010001005645267125,0.025918372131559862,1.0
MHAS,intercept_only_full_pool,0.05,30,0.10605292506697911,0.097599847035914,0.11170963720759865,9.210969834654026e-05,0.5666666666666667
MHAS,intercept_only_full_pool,0.075,30,0.08788975553571565,0.07964068301528365,0.0942932519693543,0.004798321184530906,0.9666666666666667
MHAS,intercept_only_full_pool,0.1,30,0.07037328613753702,0.06364726545054793,0.07717525156468169,0.007069003619719797,1.0
MHAS,intercept_only_full_pool,0.125,30,0.056996252327579947,0.049869399743820035,0.06290512237345863,0.01127369658128309,1.0
MHAS,intercept_only_full_pool,0.15,30,0.043434333073608195,0.038291891201996706,0.051096885682801976,0.010433110694198274,1.0
MHAS,intercept_only_full_pool,0.175,30,0.032347921072126834,0.025880990984282114,0.04002302935588234,0.011223150345421252,1.0
MHAS,intercept_only_full_pool,0.2,30,0.024744518404002686,0.01820669567403905,0.031238077505993268,0.014310536881723433,1.0
MHAS,intercept_only_full_pool,0.225,30,0.02019619554443601,0.01439620011700284,0.02554810660572976,0.01862409350553295,1.0
MHAS,intercept_only_full_pool,0.25,30,0.013984146710106475,0.008607181804678432,0.02044687413799155,0.01945942501109058,1.0
MHAS,intercept_only_full_pool,0.275,30,0.011060002041502962,0.004512152793185976,0.016705977764672468,0.023920528561369808,1.0
MHAS,intercept_only_full_pool,0.3,30,0.007927495571396855,0.002013937467529012,0.01337396503817326,0.027665271784650725,1.0
MHAS,raw_untouched,0.05,30,0.1056586501860661,0.09623556198028822,0.1127119543860098,0.0,1.0
MHAS,raw_untouched,0.075,30,0.08327599333181215,0.07377814885894861,0.09012972082038623,0.0,1.0
MHAS,raw_untouched,0.1,30,0.06350215745001572,0.054531510872925876,0.06898891035397645,0.0,1.0
MHAS,raw_untouched,0.125,30,0.045881760804182485,0.03725096243647702,0.052774878975241996,0.0,1.0
MHAS,raw_untouched,0.15,30,0.03333453085812845,0.024839467478220793,0.04024372202611442,0.0,1.0
MHAS,raw_untouched,0.175,30,0.021995838883166974,0.012321448536691239,0.029266200806473967,0.0,1.0
MHAS,raw_untouched,0.2,30,0.009863325120380163,0.0024136285169535196,0.017411618179776683,0.0,1.0
MHAS,raw_untouched,0.225,30,0.001535869395840743,-0.006838834932747529,0.008560151439685628,0.0,1.0
MHAS,raw_untouched,0.25,30,-0.005388103430491533,-0.014874624554563575,0.0004019900633154723,0.0,1.0
MHAS,raw_untouched,0.275,30,-0.013035047649749769,-0.021870190332556383,-0.005220587852979297,0.0,1.0
MHAS,raw_untouched,0.3,30,-0.019857229938740954,-0.029397371375837495,-0.01304113768725349,0.0,1.0
MHAS,treat_all,0.05,30,0.1049097358043383,0.095734336097897,0.11243496840139927,-0.000447790834522975,0.0
MHAS,treat_all,0.075,30,0.0807181070422934,0.07129472356000234,0.08844672430413979,-0.002407492898769993,0.0
MHAS,treat_all,0.1,30,0.05518249890457932,0.045497354770002406,0.06312579997925478,-0.007601788414281017,0.0
MHAS,treat_all,0.125,30,0.028187713158995868,0.018225850620573903,0.03635796569294778,-0.01721145628997165,0.0
MHAS,treat_all,0.15,30,-0.0003950011598571751,-0.010649859655291569,0.008015552919210947,-0.033819874900341516,0.0
MHAS,treat_all,0.175,30,-0.030710001195004374,-0.04127561297817919,-0.022044581840812965,-0.05183780941085228,0.0
MHAS,treat_all,0.2,30,-0.06291968873234828,-0.07381547588374729,-0.05398347502333836,-0.07132510153865934,0.0
MHAS,treat_all,0.225,30,-0.09720742062694016,-0.10845468478322301,-0.08798294195957508,-0.09773116987537689,0.0
MHAS,treat_all,0.25,30,-0.13378100131450482,-0.1454031742759971,-0.12424904002489424,-0.12589496653888296,0.0
MHAS,treat_all,0.275,30,-0.17287689791155675,-0.18489983545792807,-0.16301624830161476,-0.15910823743830443,0.0
MHAS,treat_all,0.3,30,-0.21476535855125517,-0.2272176867242826,-0.20455254288381527,-0.19423657799863586,0.0
MHAS,treat_none,0.05,30,0.0,0.0,0.0,-0.1056586501860661,0.0
MHAS,treat_none,0.075,30,0.0,0.0,0.0,-0.08327599333181215,0.0
MHAS,treat_none,0.1,30,0.0,0.0,0.0,-0.06350215745001572,0.0
MHAS,treat_none,0.125,30,0.0,0.0,0.0,-0.045881760804182485,0.0
MHAS,treat_none,0.15,30,0.0,0.0,0.0,-0.03333453085812845,0.0
MHAS,treat_none,0.175,30,0.0,0.0,0.0,-0.021995838883166974,0.0
MHAS,treat_none,0.2,30,0.0,0.0,0.0,-0.009863325120380163,0.0
MHAS,treat_none,0.225,30,0.0,0.0,0.0,-0.001535869395840743,0.36666666666666664
MHAS,treat_none,0.25,30,0.0,0.0,0.0,0.005388103430491533,0.9666666666666667
MHAS,treat_none,0.275,30,0.0,0.0,0.0,0.013035047649749769,1.0
MHAS,treat_none,0.3,30,0.0,0.0,0.0,0.019857229938740954,1.0
